# time(ms)	velocity(mm/s)
3 0.370994
3.3 -0.20569
3.6 -0.941804
3.9 -0.970652
4.2 -0.927163
4.5 -0.727861
4.8 -0.659106
5.1 -1.18852
5.4 -0.657454
5.7 -0.59202
6 -0.0286477
6.3 0.291252
6.6 -0.0409246
6.9 0.275978
7.2 0.907318
7.5 0.463866
7.8 0.67874
8.1 0.760342
8.4 1.13792
8.7 0.950322
9 0.0377924
9.3 0.465099
9.6 0.214948
9.9 -0.748668
10.2 -1.10194
10.5 -0.485978
10.8 -0.954717
11.1 -1.01522
11.4 -0.674836
11.7 -1.14144
12 -0.87687
12.3 0.223174
12.6 0.0964112
12.9 0.167268
13.2 0.929526
13.5 0.978782
13.8 1.14697
14.1 1.2732
14.4 0.96004
14.7 0.992157
15 0.808173
15.3 0.20707
15.6 0.389955
15.9 -0.252691
16.2 -0.596936
16.5 -1.07137
16.8 -0.730479
17.1 -0.847506
17.4 -1.43814
17.7 -1.3601
18 -0.69575
18.3 -0.685963
18.6 -0.454451
18.9 0.511917
19.2 -0.0289172
19.5 0.567776
19.8 0.754307
20.1 0.713901
20.4 0.600303
20.7 1.03686
21 0.413119
21.3 0.558082
21.6 0.581706
21.9 0.0782067
22.2 -0.47642
22.5 -0.00983117
22.8 -0.963747
23.1 -1.12114
23.4 -1.09399
23.7 -0.969417
24 -1.23587
24.3 -0.608014
24.6 -0.376014
24.9 -0.0882309
25.2 0.0479522
25.5 0.644415
25.8 0.615837
26.1 1.08081
26.4 1.43772
26.7 1.17879
27 0.767552
27.3 1.31765
27.6 0.389235
27.9 0.659774
28.2 0.492899
28.5 -0.54777
28.8 -0.368337
29.1 -0.983907
29.4 -0.474346
29.7 -1.28621
