# Messier, NGC, Magnitude, Size [arcmin], Distance [pc], RA [h], Dec [deg], Constellation, Season, Name
# Attention: les données n'ont pas vocation à être très précises!
# D'après http://astropixels.com/messier/messiercat.html
M,NGC,Type,Mag,Size,Distance,RA,Dec,Con,Season,Name
M1,1952,Sn,8.4,5.0,1930.0,5.575,22.017,Tau,winter,Crab Nebula
M2,7089,Gc,6.5,12.9,11600.0,21.558,0.817,Aqr,autumn,
M3,5272,Gc,6.2,16.2,10400.0,13.703,28.383,CVn,spring,
M4,6121,Gc,5.6,26.3,2210.0,16.393,-26.533,Sco,summer,
M5,5904,Gc,5.6,17.4,7520.0,15.31,2.083,Ser,summer,
M6,6405,Oc,4.2,25.0,491.0,17.668,-32.217,Sco,summer,Butterfly Cluster
M7,6475,Oc,3.3,80.0,245.0,17.898,-34.817,Sco,summer,Ptolemy's Cluster
M8,6523,Di,6.0,65.0,1600.0,18.063,-24.383,Sgr,summer,Lagoon Nebula
M9,6333,Gc,7.7,9.3,8190.0,17.32,-18.517,Oph,summer,
M10,6254,Gc,6.6,15.1,4420.0,16.952,-4.1,Oph,summer,
M11,6705,Oc,6.3,14.0,1840.0,18.852,-6.267,Sct,summer,Wild Duck Cluster
M12,6218,Gc,6.7,14.5,4910.0,16.787,-1.95,Oph,summer,
M13,6205,Gc,5.8,16.6,7700.0,16.695,36.467,Her,summer,Great Hercules Globular
M14,6402,Gc,7.6,11.7,8900.0,17.627,-3.25,Oph,summer,
M15,7078,Gc,6.2,12.3,10300.0,21.5,12.167,Peg,autumn,Great Pegasus Globular
M16,6611,Oc,6.4,7.0,2150.0,18.313,-13.783,Ser,summer,Eagle Nebula
M17,6618,Di,7.0,11.0,1530.0,18.347,-16.183,Sgr,summer,Omega Nebula
M18,6613,Oc,7.5,9.0,1500.0,18.332,-17.133,Sgr,summer,
M19,6273,Gc,6.8,13.5,8710.0,17.043,-26.267,Oph,summer,
M20,6514,Di,9.0,28.0,1600.0,18.043,-23.033,Sgr,summer,Trifid Nebula
